,video_id,artist,song
27851,LuJb3yH09Ik,X Ambassadors,Ahead Of Myself (Acoustic)
27860,jY3lRSmdLQg,"Kygo, Miguel",Remind Me to Forget (Audio)
27932,PVbQrvlB_gw,Eminem,Framed
27977,DKPCBAlDw2A,The Chainsmokers,Everybody Hates Me
28056,_7z85ipjSwA,"Future, Young Thug",Group Home
28138,6uGQ_ypTw08,Arctic Monkeys,Tranquility Base Hotel & Casino
28156,PVbQrvlB_gw,Eminem,Framed
28249,DKPCBAlDw2A,The Chainsmokers,Everybody Hates Me
28351,6uGQ_ypTw08,Arctic Monkeys,Tranquility Base Hotel & Casino
28371,Bm8rz-llMhE,"Calvin Harris, Dua Lipa",One Kiss (Lyric Video)
28416,PVbQrvlB_gw,Eminem,Framed
28418,cvhH_rsblbI,"Ne-Yo, Bebe Rexha, Stefflon Don",Push Back (Lyric Video)
28479,qE-gdNIL8WI,James Bay,Pink Lemonade
28522,M4ZoCHID9GI,The Weeknd,Call Out My Name
28523,BidS_rcf7UU,Nicki Minaj,Barbie Tingz (Lyric Video)
28535,J-dv_DcDD_A,ZAYN,Let Me
28562,C_ijc7A5oAc,Ghost,Rats (Official Music Video)
28580,rzgw0XldTC0,J. Balvin,Ambiente
28592,sn3Ct2_L4OA,Breaking Benjamin,Torn in Two
28611,R1TSiB9OuVM,Florence + The Machine,Sky Full Of Song
28644,1zXOcXnD8XU,"Swae Lee, Slim Jxmmi, Rae Sremmurd",Guatemala (Audio)
28662,eVmxh5Uft0Y,"Jason Derulo, Maluma",Colors
28722,M4ZoCHID9GI,The Weeknd,Call Out My Name
28724,BidS_rcf7UU,Nicki Minaj,Barbie Tingz (Lyric Video)
28760,J-dv_DcDD_A,ZAYN,Let Me
28795,C_ijc7A5oAc,Ghost,Rats (Official Music Video)
28797,rzgw0XldTC0,J. Balvin,Ambiente
28897,R1TSiB9OuVM,Florence + The Machine,Sky Full Of Song
28930,M4ZoCHID9GI,The Weeknd,Call Out My Name
28935,BidS_rcf7UU,Nicki Minaj,Barbie Tingz (Lyric Video)
28954,J-dv_DcDD_A,ZAYN,Let Me
29064,rzgw0XldTC0,J. Balvin,Ambiente
29073,C_ijc7A5oAc,Ghost,Rats (Official Music Video)
29154,M4ZoCHID9GI,The Weeknd,Call Out My Name
29170,BidS_rcf7UU,Nicki Minaj,Barbie Tingz (Lyric Video)
29202,J-dv_DcDD_A,ZAYN,Let Me
